price,volume,time,buyorsell,marketorlimit,misc,unixtime
34.17000,0.00877963,2014-01-14 04:33:10,b,l,,1389691990.41
34.17000,0.00107037,2014-01-14 04:34:30,b,l,,1389692070.08
34.43000,0.02904443,2014-01-14 04:57:34,b,l,,1389693454.04
34.52000,0.01031288,2014-01-14 05:35:33,b,l,,1389695733.91
34.59790,0.01861382,2014-01-14 05:35:33,b,l,,1389695733.93
34.60000,0.08670520,2014-01-14 05:36:17,b,l,,1389695777.32
34.60000,0.31329480,2014-01-14 05:53:56,b,m,,1389696836.81
34.64000,0.01674000,2014-01-14 05:53:56,b,m,,1389696836.82
34.68000,0.09000000,2014-01-14 05:53:56,b,m,,1389696836.83
34.68999,0.07996520,2014-01-14 05:53:56,b,m,,1389696836.84
34.65990,0.02885178,2014-01-14 06:49:47,b,l,,1389700187.06
34.65990,0.02885178,2014-01-14 06:52:29,b,l,,1389700349.91
34.40000,0.11627906,2014-01-14 07:47:00,s,m,,1389703620.57
34.35000,0.01243094,2014-01-14 07:47:00,s,m,,1389703620.59
34.35000,0.05000000,2014-01-14 07:56:39,s,l,,1389704199.98
34.35000,0.02490538,2014-01-14 07:56:44,s,l,,1389704204.56
34.30000,0.03402000,2014-01-14 07:56:46,s,l,,1389704206.2
34.30000,0.11175247,2014-01-14 08:05:01,s,l,,1389704701.84
34.13038,0.00324752,2014-01-14 08:05:01,s,l,,1389704701.85
34.35000,0.02911208,2014-01-14 08:10:08,b,l,,1389705008.79
34.50000,0.02898550,2014-01-14 08:14:27,b,l,,1389705267.41
34.50000,0.02500000,2014-01-14 08:19:26,b,l,,1389705566.17
34.35000,0.01001000,2014-01-14 09:00:51,b,m,,1389708051.66
34.50000,0.76876000,2014-01-14 09:00:51,b,m,,1389708051.67
34.35000,0.01001000,2014-01-14 09:01:09,b,l,,1389708069.52
34.35000,0.01001000,2014-01-14 09:01:19,s,l,,1389708079.09
34.35000,0.01001000,2014-01-14 09:01:40,s,l,,1389708100.16
34.35000,0.08641863,2014-01-14 09:17:42,s,l,,1389709062.18
34.30000,0.10534135,2014-01-14 09:17:42,s,l,,1389709062.19
34.30000,0.04043119,2014-01-14 09:18:05,s,l,,1389709085.01
34.33000,0.02912904,2014-01-14 09:22:34,b,l,,1389709354.5
34.12000,0.09320046,2014-01-14 09:28:11,s,l,,1389709691.47
34.10100,0.03154954,2014-01-14 09:28:11,s,l,,1389709691.48
34.10100,0.06238000,2014-01-14 09:28:17,s,l,,1389709697.74
34.11000,0.06238000,2014-01-14 09:28:33,b,l,,1389709713.54
34.40000,0.00290697,2014-01-14 10:17:06,b,l,,1389712626.88
34.28000,0.02917000,2014-01-14 10:18:55,b,l,,1389712735.36
34.30000,0.02500000,2014-01-14 10:18:56,s,l,,1389712736.66
34.30000,0.06246501,2014-01-14 10:20:23,s,l,,1389712823.88
34.20000,0.00253499,2014-01-14 10:20:23,s,l,,1389712823.9
34.20000,0.01500000,2014-01-14 10:21:06,s,l,,1389712866.69
34.20000,0.21500000,2014-01-14 10:28:53,s,l,,1389713333.78
34.20000,0.00138304,2014-01-14 10:28:54,s,l,,1389713334.79
34.18000,0.15539000,2014-01-14 10:33:51,b,l,,1389713631.9
34.18000,0.00061000,2014-01-14 10:33:54,s,l,,1389713634.1
